Timestamp,Value,Type
3:09:25 AM.227,"ArduinoIoTCloudTCP::handle_ConnectMqttBroker could not connect to iot.arduino.cc:8884 Error: -1\r\n",received
3:09:25 AM.227,"1375\r\n",received
3:09:25 AM.690,"1383\r\n",received
3:09:26 AM.186,"1383\r\n",received
3:09:26 AM.682,"1383\r\n",received
3:09:27 AM.242,"1389\r\n",received
3:09:28 AM.136,"1363\r\n",received
3:09:32 AM.58,"1380\r\n",received
3:09:32 AM.555,"1381\r\n",received
3:09:33 AM.642,"1369\r\n",received
3:09:34 AM.889,"Connected to Arduino IoT Cloud\r\n",received
3:09:34 AM.939,"Thing ID: 48099ae9-4e80-4478-a8a7-e6727c044aba\r\n",received
3:09:34 AM.939,"1392\r\n",received
3:09:35 AM.418,"1398\r\n",received
3:09:35 AM.930,"1407\r\n",received
3:09:36 AM.426,"1414\r\n",received
3:09:36 AM.986,"1413\r\n",received
3:09:37 AM.498,"1405\r\n",received
3:09:37 AM.994,"1401\r\n",received
3:09:38 AM.490,"1408\r\n",received
3:09:39 AM.50,"1413\r\n",received
3:09:39 AM.563,"1413\r\n",received
3:09:40 AM.58,"1414\r\n",received
3:09:40 AM.554,"1415\r\n",received
3:09:41 AM.114,"1411\r\n",received
3:09:41 AM.610,"1415\r\n",received
3:09:42 AM.123,"1413\r\n",received
3:09:42 AM.618,"1418\r\n",received
3:09:43 AM.178,"1415\r\n",received
3:09:43 AM.674,"1421\r\n",received
3:09:44 AM.170,"1417\r\n",received
3:09:44 AM.666,"1417\r\n",received
3:09:45 AM.226,"1392\r\n",received
3:09:45 AM.739,"1383\r\n",received
3:09:46 AM.234,"1394\r\n",received
3:09:46 AM.730,"1392\r\n",received
3:09:47 AM.290,"1393\r\n",received
3:09:47 AM.786,"1398\r\n",received
3:09:48 AM.299,"1393\r\n",received
3:09:48 AM.795,"1391\r\n",received
3:09:49 AM.354,"1393\r\n",received
3:09:49 AM.850,"1392\r\n",received
3:09:50 AM.346,"1395\r\n",received
3:09:50 AM.842,"1145\r\n",received
3:09:51 AM.402,"381\r\n",received
3:09:51 AM.914,"470\r\n",received
3:09:52 AM.410,"880\r\n",received
3:09:52 AM.922,"1243\r\n",received
3:09:53 AM.466,"835\r\n",received
3:09:53 AM.978,"432\r\n",received
3:09:54 AM.475,"839\r\n",received
3:09:54 AM.969,"1370\r\n",received
3:09:55 AM.530,"1311\r\n",received
3:09:56 AM.26,"1317\r\n",received
3:09:56 AM.538,"1318\r\n",received
3:09:57 AM.34,"1312\r\n",received
3:09:57 AM.595,"1311\r\n",received
3:09:58 AM.91,"1312\r\n",received
