Timestamp,Value,Type
7:08:58 PM.424,"27.10\r\n",received
7:08:58 PM.876,"27.10\r\n",received
7:08:59 PM.403,"27.10\r\n",received
7:08:59 PM.899,"27.10\r\n",received
7:09:00 PM.413,"27.10\r\n",received
7:09:00 PM.907,"27.10\r\n",received
7:09:01 PM.436,"27.10\r\n",received
7:09:01 PM.932,"27.10\r\n",received
7:09:02 PM.428,"27.10\r\n",received
7:09:02 PM.923,"27.10\r\n",received
7:09:03 PM.452,"27.10\r\n",received
7:09:03 PM.946,"27.10\r\n",received
7:09:04 PM.459,"27.10\r\n",received
7:09:04 PM.956,"27.10\r\n",received
7:09:05 PM.483,"27.10\r\n",received
7:09:05 PM.979,"27.10\r\n",received
7:09:06 PM.475,"27.10\r\n",received
7:09:06 PM.988,"27.10\r\n",received
7:09:07 PM.500,"27.10\r\n",received
7:09:08 PM.11,"27.10\r\n",received
7:09:08 PM.507,"27.10\r\n",received
7:09:09 PM.4,"27.10\r\n",received
7:09:09 PM.531,"27.10\r\n",received
7:09:10 PM.28,"27.10\r\n",received
7:09:10 PM.540,"27.10\r\n",received
7:09:11 PM.36,"27.10\r\n",received
7:09:11 PM.563,"27.10\r\n",received
7:09:12 PM.59,"27.10\r\n",received
7:09:12 PM.556,"27.10\r\n",received
7:09:13 PM.51,"27.10\r\n",received
7:09:13 PM.580,"27.10\r\n",received
7:09:14 PM.75,"27.10\r\n",received
7:09:14 PM.586,"27.10\r\n",received
7:09:15 PM.83,"27.10\r\n",received
7:09:15 PM.610,"27.10\r\n",received
7:09:16 PM.107,"27.10\r\n",received
7:09:16 PM.603,"27.10\r\n",received
7:09:17 PM.137,"27.10\r\n",received
7:09:17 PM.627,"27.10\r\n",received
7:09:18 PM.139,"27.10\r\n",received
7:09:18 PM.635,"27.10\r\n",received
7:09:19 PM.131,"27.10\r\n",received
7:09:19 PM.659,"27.10\r\n",received
7:09:20 PM.171,"27.10\r\n",received
7:09:20 PM.667,"27.10\r\n",received
7:09:21 PM.163,"27.10\r\n",received
7:09:21 PM.691,"26.70\r\n",received
7:09:22 PM.187,"26.70\r\n",received
7:09:22 PM.703,"26.70\r\n",received
7:09:23 PM.196,"26.70\r\n",received
7:09:23 PM.724,"26.70\r\n",received
7:09:24 PM.219,"26.70\r\n",received
7:09:24 PM.715,"26.70\r\n",received
7:09:25 PM.211,"26.70\r\n",received
7:09:25 PM.739,"26.70\r\n",received
7:09:26 PM.235,"26.70\r\n",received
7:09:26 PM.747,"26.70\r\n",received
7:09:27 PM.243,"26.70\r\n",received
7:09:27 PM.771,"26.70\r\n",received
7:09:28 PM.268,"26.70\r\n",received
7:09:28 PM.763,"26.70\r\n",received
7:09:29 PM.275,"26.70\r\n",received
7:09:29 PM.788,"26.70\r\n",received
7:09:30 PM.301,"26.70\r\n",received
7:09:30 PM.795,"26.70\r\n",received
7:09:31 PM.291,"26.70\r\n",received
7:09:31 PM.819,"26.70\r\n",received
7:09:32 PM.315,"26.70\r\n",received
7:09:32 PM.828,"26.70\r\n",received
7:09:33 PM.324,"26.70\r\n",received
7:09:33 PM.851,"26.70\r\n",received
7:09:34 PM.347,"26.70\r\n",received
7:09:34 PM.843,"26.70\r\n",received
7:09:35 PM.339,"26.70\r\n",received
7:09:35 PM.867,"26.70\r\n",received
7:09:36 PM.380,"26.70\r\n",received
7:09:36 PM.875,"26.70\r\n",received
7:09:37 PM.371,"26.70\r\n",received
7:09:37 PM.899,"26.70\r\n",received
7:09:38 PM.395,"26.70\r\n",received
7:09:38 PM.892,"26.70\r\n",received
7:09:39 PM.403,"26.70\r\n",received
7:09:39 PM.915,"26.70\r\n",received
7:09:40 PM.427,"26.70\r\n",received
7:09:40 PM.925,"26.70\r\n",received
7:09:41 PM.420,"26.70\r\n",received
7:09:41 PM.947,"26.70\r\n",received
7:09:42 PM.443,"26.70\r\n",received
7:09:42 PM.955,"26.70\r\n",received
7:09:43 PM.451,"26.70\r\n",received
7:09:43 PM.979,"26.70\r\n",received
7:09:44 PM.475,"26.70\r\n",received
7:09:44 PM.971,"26.70\r\n",received
7:09:45 PM.467,"26.70\r\n",received
7:09:45 PM.995,"26.70\r\n",received
7:09:46 PM.509,"26.70\r\n",received
7:09:47 PM.3,"26.70\r\n",received
7:09:47 PM.500,"26.70\r\n",received
7:09:48 PM.27,"26.50\r\n",received
7:09:48 PM.523,"26.50\r\n",received
7:09:49 PM.19,"26.50\r\n",received
7:09:49 PM.532,"26.50\r\n",received
7:09:50 PM.44,"26.20\r\n",received
7:09:50 PM.555,"26.20\r\n",received
7:09:51 PM.51,"26.20\r\n",received
7:09:51 PM.547,"26.20\r\n",received
7:09:52 PM.75,"26.20\r\n",received
7:09:52 PM.588,"26.20\r\n",received
7:09:53 PM.84,"26.20\r\n",received
7:09:53 PM.579,"26.20\r\n",received
7:09:54 PM.111,"26.20\r\n",received
7:09:54 PM.603,"26.20\r\n",received
7:09:55 PM.99,"26.20\r\n",received
7:09:55 PM.615,"26.20\r\n",received
7:09:56 PM.123,"26.20\r\n",received
7:09:56 PM.635,"26.20\r\n",received
7:09:57 PM.132,"26.20\r\n",received
7:09:57 PM.627,"26.20\r\n",received
7:09:58 PM.156,"26.20\r\n",received
7:09:58 PM.651,"26.20\r\n",received
7:09:59 PM.164,"26.20\r\n",received
7:09:59 PM.663,"26.20\r\n",received
7:10:00 PM.195,"26.20\r\n",received
7:10:00 PM.683,"26.20\r\n",received
7:10:01 PM.179,"26.20\r\n",received
7:10:01 PM.699,"26.20\r\n",received
7:10:02 PM.203,"26.20\r\n",received
7:10:02 PM.715,"26.20\r\n",received
7:10:03 PM.211,"26.20\r\n",received
7:10:03 PM.707,"26.20\r\n",received
7:10:04 PM.235,"26.20\r\n",received
7:10:04 PM.731,"26.20\r\n",received
7:10:05 PM.227,"26.20\r\n",received
7:10:05 PM.740,"26.20\r\n",received
7:10:06 PM.284,"26.20\r\n",received
7:10:06 PM.764,"26.20\r\n",received
7:10:07 PM.260,"26.20\r\n",received
7:10:07 PM.755,"26.20\r\n",received
7:10:08 PM.283,"26.20\r\n",received
7:10:08 PM.779,"26.20\r\n",received
7:10:09 PM.292,"26.20\r\n",received
7:10:09 PM.787,"26.20\r\n",received
7:10:10 PM.316,"26.20\r\n",received
7:10:10 PM.811,"26.20\r\n",received
7:10:11 PM.308,"26.20\r\n",received
7:10:11 PM.820,"26.20\r\n",received
7:10:12 PM.331,"26.20\r\n",received
7:10:12 PM.844,"26.20\r\n",received
